rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
1491,elle,lee,2,ellerston avenue,rosedale,epping,7000,nsw,19162429,32,03 51056140,7478073,4
2551,zachary,kanhanouvong,2,healy place,belmont cottage,northam,4133,nsw,19701031,16,07 65472979,9818217,5
2661,cooper,gillick,23,templestowe avenue,,tully,2560,vic,19800117,22,02 20717061,2796886,0
3501,joshua,dodson,16,templeton street,,alexander heights,2264,nsw,19290630,34,08 95104881,9608919,9
3451,tiaza,karandakis,1,cockle street,locn 6357,turramurra,2010,vic,,29,03 22432781,7453487,1
3201,mitchell,lawrence,7,stace place,,lindfield,2142,nsw,19310310,33,02 25382252,9164231,6
620,lachlan,monteleone,6,kingsbury street,,torrensville,2042,,19670625,36,08 90056511,6517771,0
1420,lachlan-john,corby,17,astelia place,millamurra,vincentia,2153,qld,19391228,33,02 48225823,8261357,2
2581,jasmine,mchenry,8,tristania street,,tarragijdi,6530,vic,19050718,38,03 93219558,7386221,4
3180,teegan,notley,4,clark close,,charters towers,2827,nsw,19380601,35,03 67373058,2516426,1
1761,alissa,drumgoon,159,pridham street,,phillip bay,2484,vc,19070516,25,04 65400025,4003461,1
330,leah,tarrant,33,gellibrand street,laura downs,griffith,4066,sa,19180330,25,04 60808817,1585432,1
3220,nacoya,rowe,5,colvin street,,teneriffe,2482,nsw,19920825,26,02 73759706,3075307,9
3731,michael,wallace,37,jarvis olace,,vincentia,2576,qld,19010226,21,02 02951328,4122210,0
491,d'arcy,hall,19,boldrewoodq street,,ferntree gully,5008,vic,19901220,30,03 50980836,6008124,3
270,keely,ludlow,320,,,baulkham hills,3842,wa,19731225,30,08 05597019,7501257,2
4790,corey,leifheit,9,tinderry circuit,,millicent,2010,vic,19260812,,04 91893541,9767580,2
2901,natalia,thompson,41,roebuck street,pretoria,atherton,2230,vic,19260607,,02 73041390,5179371,9
1100,jackson,hoffman,7,challinor crescent,,quinns rocks,3021,nsw,19060618,,07 80154535,5425935,2
1821,mikayla,elding,21,marsden street,,rowville,2641,vic,19390504,35,03 98308727,5165520,0
521,connor,collins,91,dwyer street,,bonny hills,4812,qld,19410719,,02 18041653,9006774,7
10,gabriella,,12,milford street,,dakabin,2227,vic,19600115,22,04 81631418,4841193,6
571,esther,van boom,9,birchall street,springflat,penrith,3150,vic,,31,07 55769472,8653551,5
1720,michael,hookway,8,mountain creek road,rsde 261,westleigh,3133,tas,19611101,29,08 23841560,7515588,1
3981,jacqueline,spartalis,12,hamelin ctescent,flt 7,bowen,4034,act,19011113,26,07 10379276,8303646,7
4871,evan,griffiths,20,burnside street,,murray bridge,4221,,19960617,,07 81789574,4409233,1
3950,kailey,david,35,mckillop circuit,blueberry farm est,templestowe,2161,tas,19741230,,03 47462084,1830017,7
3280,aleisha,marschall,252,alexandra street,willowbrook,mudgee,4572,nsw,19261130,,07 96783536,4538839,8
940,jacob,hennig,32,violet grover place,glensloy,doncaster,4017,nt,19950506,33,08 70420964,9907818,6
4311,matthew,piscitelli,243,leven street,orana,cobram,4352,nsw,19770209,31,04 04557273,4530599,5
760,emma,o'brien,12,castle place,,howard springs,7248,sa,,29,03 97657928,6353317,5
2490,annalise,mair,4,dexter street,,yarraville,3108,sa,,31,07 55166002,3015522,8
1850,rhys,atkinson,34,mccubbin street,,bonnet bay,3019,tas,19870317,,07 56328268,7229274,3
2061,tara,trapman,24,levien street,,little hartley,4818,qld,19180895,27,02 04960270,7634377,3
790,travis,thompson,35,highett street,,kardinya,5131,vic,19150510,32,02 82776829,4056976,2
331,leag,tarrant,33,gellibrand street,laura downs,griffith,4066,sa,19180330,25,04 60808817,1585432,1
2690,yasmin,moller,29,guthridge crescent,whurlie stn,underwood,4213,,19880915,28,02 56909959,3390912,0
4121,georgia,winger,15,chaseling street,st vincent medical centre,clayton south,3233,vicy,19540709,40,03 35866138,8082474,2
100,riley,fitt,69,limestone avenue,,coombabah,4300,vic,19381006,32,02 82736226,5975454,4
2801,teagan,davies,32,beal plsce,,tooloom,4105,sa,19681020,31,04 13247517,2381608,0
3931,emma,dunn,1,macgregor street,murray park,ulmarra,3104,,19010531,25,02 24022632,9907336,4
2411,samuel,carney,,gadali cescent,,altona meadows,3020,nsw,19860614,,02 65398197,2656402,3
3420,ruby,edwards,4,noble place,,red cliffs,2731,qld,19480924,35,07 59525524,3893340,3
2331,thomas,verryt,6,hale crescent,,doncaster east,4096,tas,19810823,,03 86113039,8042104,5
3211,james,gibb,21,bow place,,keysboruogh,5174,qld,19160515,31,04 40993465,1220885,5
20,kristo,chambers,2,harrington circuit,kinlet cottage,melbourne,4875,vic,19200417,,07 91336560,8525101,0
3940,james,gardner,8,magennis place,,barwon heads,2036,sa,19320203,,,1953475,9
4100,charlie,warhurst,80,mokoan place,glenwood,capalaba,3152,nsw,19821016,22,02 59372247,5504186,1
2880,liam,morton,7,hansen circuit,,padstow,2480,sa,19960710,24,03 92146202,8683453,1
2040,benjamin,albrecht,943,angas street,,inverell,2259,,19370214,,04 11672693,3427691,2
3680,harrison,mccarthy,101,,,glenormiston north,2518,qld,19420520,32,04 55563196,4091900,9
4061,jaden,phillis,312,green street,phyliss stewart house,somerville,3195,nsw,19961008,26,02 56926591,2226562,7
1591,alex,jones,18,albermarle place,,caulfiele north,2148,,19210118,24,02 36051676,6594818,0
3751,thomas,dimas,27,,gormans lane,albion park rail,4019,nsw,19880618,21,02 46807461,9109212,8
1211,alexander,mcginity,15,howie court,briarlea,greta,3337,nsw,19370419,26,03 07726295,1109874,6
31,,land,18,lethbridgestreet,rosebrook est,lavington,3058,vic,19790515,27,,9805993,7
3521,emiily,glover,8,mather street,wattle valley,west woodville,4226,nw,19600328,28,04 33371405,9001382,3
4560,cameron,o'brien,45,beilby place,,tiaro,2324,vic,19821002,25,03 72748957,6948266,8
4380,alessandria,close,16,chippindall circuit,alchemy,west ryde,6158,nsw,19210910,35,02 10691402,2966424,6
2070,kiana,williams,120,morant circuit,doonabri,adamstown heights,2230,,19961123,30,03 89656365,9852387,4
30,,land,18,lethbridge street,rosebrook est,lavington,3058,vic,19790515,27,,9805993,7
1511,chelsea,henderson,17,,,ferntree gully,2569,nsw,19060806,32,08 87612320,8936079,1
1410,erin,bernhard,116,dooring street,,redcliffe,7268,sa,19270924,24,08 96000474,1307591,5
1391,barkly,potger,6,crozier circuit,,hawthorn,3000,qld,19100202,,03 10992699,9352729,6
4991,joel,scarman,4,blackburnstreet,weetah cottage,berkeley vale,2144,vic,19730623,,04 36138433,5986456,7
2631,taea,dellafortuna,6,foskett street,,lake grace,3931,vic,19930215,31,04 62508809,9026596,8
2211,brooke,,4,ridley street,,morisset,6432,qld,19210651,24,04 26109294,7828545,9
1700,beau,turner,75,,yarrandale moonee,birmingham gardens,2234,,,37,03 63943975,9153713,4
4520,liam,ferri,2,heard street,concord hospital medical centre,clayton south,3055,nsw,19530717,33,08 34060180,8989942,7
2140,toby,kelly,29,vasey crescent,glynnlee,zillmere,4077,act,19870331,33,02 70430263,9499620,3
4481,kaysey,pasore,8,terewah circuit,,floreat,2250,nsw,19640618,30,02 69876169,7532003,4
4731,dillon,baker,100,mackerras crescent,cambria,yorketown,2064,sa,19341204,26,08 60579261,6969645,4
370,isabella,malley,36,musson close,,lyndhurst,2077,wa,,31,08 48790366,8088366,7
2111,callum,delany,26,benson crescent,balanie,higgins,4035,,19970123,34,07 96477091,9808265,9
2730,blake,mengersen,6,julia flynn avenue,,belmont,2327,nsw,19300707,,03 80274187,1513412,7
3470,xavier,evans,62,goldner circuit,,mildura,,nsw,19261003,19,04 02381456,7049205,5
1180,elijah,ballantyne,227,springvale drive,thankful rest caravan park,septimus,3950,vic,19710807,26,08 29131814,4030051,7
1661,jessie,phillips,949,haddon street,chapman valley,edmonton,0820,vic,19621017,,03 65706891,6788329,4
3930,emma,dunn,11,macgregor street,murray park,ulmarra,3104,,19010531,25,02 24022632,9907336,4
741,liana,rothwell,55,moon place,,halls zhead,4270,wa,19160624,23,07 80925615,4795323,9
2240,alexander,rolke,11,mckillop circuit,,dundas,3878,qld,19920520,26,07 09128330,2638311,0
4751,sebastian,boucher,38,evella court,,blacktown,4819,,19400922,30,08 00744973,4654437,2
